pathway	gene1	gene2
Citrate cycle (TCA cycle) - Homo sapiens (human)	IDH3A	IDH1
Citrate cycle (TCA cycle) - Homo sapiens (human)	IDH3A	IDH2
Citrate cycle (TCA cycle) - Homo sapiens (human)	IDH3B	IDH1
Citrate cycle (TCA cycle) - Homo sapiens (human)	IDH3B	IDH2
Citrate cycle (TCA cycle) - Homo sapiens (human)	IDH3G	IDH1
Citrate cycle (TCA cycle) - Homo sapiens (human)	IDH3G	IDH2
Citrate cycle (TCA cycle) - Homo sapiens (human)	MDH1	CS
Citrate cycle (TCA cycle) - Homo sapiens (human)	MDH1	FH
Citrate cycle (TCA cycle) - Homo sapiens (human)	MDH1	ACLY
Citrate cycle (TCA cycle) - Homo sapiens (human)	MDH1	PC
Citrate cycle (TCA cycle) - Homo sapiens (human)	MDH1	PCK1
Citrate cycle (TCA cycle) - Homo sapiens (human)	MDH1	PCK2
Citrate cycle (TCA cycle) - Homo sapiens (human)	MDH2	CS
Citrate cycle (TCA cycle) - Homo sapiens (human)	MDH2	FH
Citrate cycle (TCA cycle) - Homo sapiens (human)	MDH2	ACLY
Citrate cycle (TCA cycle) - Homo sapiens (human)	MDH2	PC
Citrate cycle (TCA cycle) - Homo sapiens (human)	MDH2	PCK1
Citrate cycle (TCA cycle) - Homo sapiens (human)	MDH2	PCK2
Citrate cycle (TCA cycle) - Homo sapiens (human)	ACLY	ACO1
Citrate cycle (TCA cycle) - Homo sapiens (human)	ACLY	ACO2
Citrate cycle (TCA cycle) - Homo sapiens (human)	ACLY	PC
Citrate cycle (TCA cycle) - Homo sapiens (human)	ACLY	PCK1
Citrate cycle (TCA cycle) - Homo sapiens (human)	ACLY	PCK2
Citrate cycle (TCA cycle) - Homo sapiens (human)	ACO1	IDH1
Citrate cycle (TCA cycle) - Homo sapiens (human)	ACO1	IDH2
